"titulo","correo","telefono","pagina","descripción"
"Testgroup","gestion.comercial@testgroup.cl"," 562 2607 5708","www.testgroup.cl","Empresa que provee soluciones innovadoras de QA personalizadas a diversos clientes. Cuenta con más de 16 años de experiencia y posee presencia internacional en Chile, Colombia, El Salvador y Costa Rica."
"Soluciones Orión","info@solucionesorion.com"," 562 2640 3900","www.solucionesorion.com","Soluciones Orión impulsa la transformación digital en la empresa, asegurando mayor agilidad, eficiencia y competitividad, además de resguardar la seguridad de la información. Cuenta con oficinas en México, Perú, Argentina, Ecuador y Colombia."
"Option","foliver@optionit.com"," 562 2887 3700","www.option.cl","Equipo de 30 profesionales especializados en el desarrollo de ecosistemas de software para clientes en Latinoamérica, Suecia, Finlandia y España. Cuenta con oficinas en Miami, Estocolmo y Lima."
"Browse","browse@browse.cl"," +562 27511700","www.browse.cl","Ingeniería de software administrativo que genera soluciones informáticas abiertas, utilizando tecnologías de avanzada, brindando una respuesta eficaz y eficiente a la problemática administrativa y de gestión."
"Tech-K","pgelmi@techk.cl"," +56 2 22441121","www.techk.cl","Empresa que se especializa en Business Intelligence como servicio. Procesa y analiza grandes volúmenes de información a través de la tecnología para entregar sus servicios."
"M-risk","contacto@m-risk.com"," +56 2 29 404 100","www.m-risk.com","M-risk es líder en el desarrollo de una plataforma tecnológica para la gestión de sustentabilidad y administración de riesgo. Software que administra riesgos operacionales y estratégicos desde una gestión integral en Salud & Seguridad, Medio Ambiente y Comunidades (HSEC) colaborando con la sostenibilidad en los negocios."
"Trencadis Innovación","contacto@trencadis.cl"," +562 22331240","www.trencadisinnovacion.com","Consultora de innovación, que ayuda a las empresas a innovar en Chile, Colombia y México."
"OGR","contacto@ogr.cl"," +562 2 23069220","www.ogr.cl","Consultora de innovación tecnológica que pretende desarrollar las capacidades de los estudiantes, reduciendo así la brecha social y económica."
"ComparaOnline‎","contact@comparaonline.com"," +562 2 483 9100","www.comparaonline.cl","Plataforma web de asesoría financiera."
"Mediastream","contacto@mediastre.am"," +56 2 2402 9750","mediastre.am","Mediastream se fundó en 2007 en Chile con la pasión por transmitir audio y video por internet y gracias a la experiencia lograda en este tiempo la empresa se expandió a Brasil, Colombia y Estados Unidos."
"Wisetrack","info@wisetrack.cl"," +562 23893000","www.wisetrack.cl","Wisetrack nace en el año 2005 para ofrecer servicios tecnológicos especializados y soluciones de gestión y control de flota, consolidando una propuesta de valor agregado."
"Mi Telemetría","info@savtec.cl"," +562 24957727","www.mitelemetria.cl","Empresa dedicada al desarrollo de tecnologías para el mundo agrícola, marítimo y energético."
"Agile Ingeniería y Consultoría Ltda.","contacto@agile.cl"," +562 22134014","www.agile.com","Oracle adquirió a Agile, un proveedor líder de soluciones de software de administración del ciclo de vida del producto (PLM). Las soluciones PLM de Agile impulsan la innovación del producto y el proceso de introducción en una variedad de industrias, incluidas las de alta tecnología, ciencias de la vida, fabricación industrial y productos envasados para el consumidor."
"Adistec Chile Spa","chile@adistec.com"," +56 2 27565801","www.adistec.com","Desarrollador de Seguridad y Datacenter, que tiene un portafolio sólido, integral y con marcas líderes en el mercado. Brinda valor mediante un equipo de ingeniería altamente reconocido en la industria."
"Acepta","facturaelectronica@acepta.com"," +562 24968100","www.acepta.com","Lidera el mercado de emisión de certificados de firma electrónica, factura electrónica, documentos electrónicos y biometría, aplicada a procesos de negocio, explorando además el mercado internacional."
"TOC Biometrics","contacto@toc.cl"," +56 2 2946 5752","www.toc.cl","Fundada en 2010, TOC S.A. es una empresa especializada en el desarrollo de tecnologías de verificación de identidad y aplicaciones derivadas de la teconología biométrica."
"Quaos","info@quaos.cl"," +56 2 3223 9320","www.quaos.cl","Oficina de servicios profesionales independiente especializada en la aplicación de Data Science para resolver problemas financieros reales de alta complejidad, todo con el apoyo de tecnología propietaria de análisis y modelamientos avanzados referida bajo el nombre de AyMA®."
"Tinkit","contacto@tinkit.co"," +562 24068600","tinkit.co","Software de referidos o recomendaciones para incrementar ventas. Plataforma SaaS de incremento de ventas a través del marketing de referidos. Medición del ROI con analíticas de “referrals” con la digitalización del marketing de “boca a boca”."
"Ceptinel Risk Manager","ceptinel.com"," contacto@ceptinel.com","","Sistema que monitorea las actividades de la empresa y notifica cuando se detectan situaciones que requieren revisión en tiempo real. Orientados a Gerencias de Entornos Bursátiles, Operacionales, Riesgo, Compliance y Marketing, basado en la actividad del cliente."
"Sofía Gestión Agrícola","websofia@reset.cl"," +567 2383402","www.sofiagestionagricola.cl","Plataforma web de gestión agrícola, amable e intuitiva, que convierte las libretas de anotaciones y planillas de Excel (tarjas), en un sistema integral de registro, administración online y de uso gratuito."
"Smart Clarity","contacto@smartclarity.com"," +56 9 7764 7529","www.smartclarity.com","Compañía que desarrolla software de gestión y proyectos de ingeniería eléctrica, relacionados con eficiencia, reducción de pérdidas y control de riesgos."
"DBNeT","dbnet@dbnetcorp.com"," +562 25847800","www.dbnet.cl","Fundada hace 24 años en Chile, DBNeT es una empresa de soluciones de tecnología. Con una sólida y exitosa trayectoria,  genera valor a sus clientes y accionistas, en armonía con empleados, proveedores y con la sociedad."
"Team Core","soporte@teamcore.cl"," +562 26665551","www.teamcore.cl","Provee un método de trabajo único para que las empresas de consumo masivo aumenten sus ventas, al mismo tiempo generan alta productividad en su gestión de punto de venta. Usando algoritmos de Machine Learning y Big Data, TeamCore moviliza a su equipo comercial utilizando tareas inteligentes ordenadas por valor económico y controlando luego su solución."
"AgendaPro","contacto@agendapro.cl"," +569 4271 7566","agendapro.co/cl","Software de gestión para negocios de salud, belleza y deporte."
"In Motion","info@inmotion.cl"," +562 2330 6767","www.grupoinmotion.com","In Motion, empresa multinacional que se define como un partner estratégico en transformación digital, con foco en las verticales de seguros, telecomunicaciones, banca, retail y gobierno. Con una trayectoria de 23 años de participación directa y exitosa en importantes proyectos TI, tanto a nivel local como regional."
"Cognitiva Chile SPA","info@cognitiva.la"," +56 23210 2000","www.cognitiva.la","Empresa de consultoría de negocios y soluciones de computación cognitiva. A través de una alianza estratégica con IBM, se convirtió en la única empresa responsable de comercializar Watson en español."
"Coasin Chile S.A.","contacto@coasin.cl"," +562 2410 8000","www.coasin.cl","Empresa líder capaz de integrar soluciones tecnológicas de alto valor agregado y prestar servicios TIC en modalidad outsourcing, de manera integral y verticalizada a todas las industrias."
"RFA Ingenieros","rfa-ingenieros@rfa.cl"," +562 2652 3300","www.rfa.cl","Grupo de empresas que nace en 1956, cuya acción está orientada a desarrollar diversos servicios de ingeniería y construcción, incluyendo entre otros: desarrollo de ingeniería de diseño y de detalle en proyectos multidisciplinarios, ingeniería antisísmica, administración e inspección técnica de obras, rehabilitación, reparación y refuerzo de estructuras y desarrollo de proyectos de tecnologías de información."
"ITQ Latam","contacto@itqlatam.com"," +562 2350 9300","www.itqlatam.com","Empresa de integración de tecnologías independientes que trabaja y ofrece las mejores tecnologías y soluciones a sus clientes, asumiendo la responsabilidad integral en cada uno de sus proyectos y servicios, entregando servicios de alta calidad. Todos sus proyectos, servicios y procesos están diseñados con un enfoque en la calidad y en la satisfacción de los clientes, basados en metodologías de trabajo y mejores prácticas como ISO:9001 e ITIL."
"Integradores de Tecnología y Sistemas S.A.","contacto@intesis.cl"," +56 2 2713 3600","www.intesis.cl","Empresa chilena de Integración, Consultoría y Servicios de TI, con más de 10 años de experiencia en el mercado nacional. Cuenta con un equipo de 130 personas, mayoritariamente profesionales de ingeniería y técnicos con comprobada experiencia y certificaciones en las distintas especialidades de TI."
"Intersystems Chile Ltda.","support@intersystems.com"," +562 2892 6000","www.intersystems.com/cl","Compañía desarrolladora de software, bases de datos y aplicaciones."
"BNovus","contacto@intercapit.com"," +562 2599 7199","www.bnovus.cl","Gestiona el talento de su organización a través de un software basado en estándares internacionales, donde el cruce de elementos tecnológicos, administrativos y técnicas de juego (Gamification), constituyen una solución real para recursos humanos y la empresa en general."
"Intel Tecnología Chile S.A.","contacto@intelchile.com"," +562 25827100","www.intel.com","Fabricante de procesadores y soluciones tecnológicas."
"Universidad Tecnológica de Chile Inacap","informaciones@inacap.cl"," +562 800 20 25 20","www.inacap.com","Inacap es un Sistema Integrado de Educación Superior, constituido por la Universidad Tecnológica de Chile Inacap, el Instituto Profesional Inacap y el Centro de Formación Técnica Inacap, que comparten una misión y valores institucionales. El Sistema Integrado de Educación Superior Inacap y su Organismo Técnico de Capacitación Inacap están presentes, a través de sus 26 sedes, a lo largo de Chile."
"Bsale","ayuda@bsale.app"," +56 2 2 2584 7206","www.bsale.cl","Empresa que ofrece herramientas dirigidas a simplificar la administración del negocio de sus clientes."
"IBM de Chile S.A.C.","bkrause@cl.ibm.com"," +562 2200 6000","www.ibm.com/cl-es","Fabrica y comercializa hardware y software para computadoras. Además ofrece servicios de infraestructura, alojamiento de Internet, y consultoría en una amplia gama de áreas relacionadas con la informática, desde computadoras centrales hasta nanotecnología."
"Hiway S.A.","info@hiway.cl"," +56 2 29407500","www.hiway.cl","Empresa experta en soluciones de Tecnologías de Información y Comunicaciones. Como Partner Premier de Cisco, lleva más de 11 años entregando sus servicios al mercado latinoamericano."
"Infox","epc@infox.cl"," +562 32 328 8954","www.infox.cl","Infox es una empresa de Hexa Informática Ltda., con 32 años de experiencia en el diseño, desarrollo, operación y mantención de grandes proyectos informáticos."
"GS1","info@gs1chile.org"," +562 2 3278 3500","www.gs1chile.org","Es una organización mundial, que opera en más de 150 países, dedicada al desarrollo de estándares globales para la identificación de productos y servicios."
"Equipos Técnicos y de Comunicaciones S.A.","info@eticsa.cl"," +56 2 2783 2000","www.eticsa.cl","Empresa que cuenta con la capacidad para integrar soluciones tecnológicas de alto valor y además presta servicios TIC en diferentes modalidades. Dispone de un equipo profesional y técnico de excelencia que presta servicios a lo largo de todo el país. Pone a disposición de sus clientes una propuesta de tecnología, conocimiento y mejores prácticas, que soportan todos los servicios con que cuenta."
"E-sign S.A.","contacto@e-sign.cl"," +562 24331500","www.e-sign.cl","Empresa especializada en brindar soluciones de seguridad y confianza en internet, teniendo como base la innovación y la búsqueda de la confianza en los canales electrónicos. Impulsa y genera papeles electrónicos de valor legal, lo que permite “despapelizar” todo tipo de documentos, mejorando así los niveles de servicio de las empresas."
"E.nable","info@enable.cl"," +56 2 26512900","www.enable.cl","Empresa chilena pionera en soluciones TI con más de 10 años de experiencia en la industria financiera y bancaria."
"Desis Ltda.","desis@desis.cl"," +562 29472800","www.desis.cl","Está enfocada en desarrollar, adaptar y transferir tecnologías de información y de gestión para dar solución a problemas específicos, con el objeto de potenciar a las organizaciones insertas en este mercado, entendiendo y asumiendo la importancia de obtener beneficios económicos y humanos a través de la implementación de tecnologías en sus procesos tradicionales."
"Dell Computer de Chile Ltda.","dell@dell.com"," +562 2685 6800","www.dell.com","Desarrolla, fabrica, vende y da soporte a computadoras personales, servidores, switches de red, programas informáticos, periféricos y otros productos relacionados con la tecnología."
"Sociedad de Computación Datasoft S.A.","datasoft@datasoft.cl"," +562 28419800","www.datasoft.cl","Comienza sus operaciones en 1989, focalizándose en soluciones de seguridad en el ámbito TI, como respuesta a la preocupación de las empresas por adoptar medidas que les permitan resguardar sus plataformas tecnológicas y sus sistemas de información."
"Microsoft Chile S.A.","contact@microsoft.com"," +562 2 3306000","www.microsoft.com/es-cl/","Fundada en 1975, Microsoft es el líder mundial en software, servicios, dispositivos y soluciones que ayudan a las personas y las empresas a desarrollar todo su potencial."
"Magnacom Chile S.A.","contacto@magnacom.cl"," +56 2 2430 1515","www.magnacom.cl","Compañía enfocada en mejorar la posición competitiva de  sus clientes mediante la asesoría, diseño, desarrollo e implementación de plataformas de software, herramientas y aplicaciones informáticas adaptadas eficientemente a sus requerimientos específicos."
"Level 3 Chile S.A.","info-chile@level3.com"," +562 24225900","www.level3.com","Es un proveedor líder en servicios de comunicación global, y crea soluciones que fortalecen el crecimiento, la eficacia y la seguridad de las empresas de todo el mundo."
"Sonda S.A.","corporativo@sonda.com"," +562 26575000","www.sonda.com","Proveedor de soluciones y servicios TI."
"Soluciones Expertas S.A.","info@solex.cl"," +562 29232900","www.solex.cl","Empresa proveedora de soluciones tecnológicas, que implementa desde 1993 sistemas informáticos para la gestión de operaciones de diversas industrias."
"Softgroup","jocqueteau@softgroup.cl"," 2 24692055","www.softgroup.cl","It provides technological development, software, outsourcing and consultancy services."
"SOAInt Gestión S.A.","contacto@soaint.com"," +562 26327701","soaint.com","Nació como una empresa consultora especializada en los nuevos estándares BPM, SOA, Seguridad, ECM y Modernización, sin embargo la evolución de estos conceptos como parte del nuevo modelo de arquitectura IT de las empresas, provocó una transformación en SOAInt para convertirse en una de las firmas líderes en el ámbito de transformación de arquitectura TI a nivel de Europa, Medio Oriente y Latinoamérica."
"Seidor","comunicacion@seidor.es"," +562 26564100","www.seidor.cl","Multinacional española del sector tecnológico que ofrece servicios y soluciones integrales en el ámbito de la consultoría de software y servicios informáticos. Su amplio portafolio cubre: consultoría, servicios de infraestructura, implantación, desarrollo y mantenimiento de aplicaciones y servicios de outsourcing."
"Segacy SPA","info@segacy.com"," +56 2 2431 5308","www.segacy.com","Empresa de consultoría de gestión dedicada al mejoramiento del rendimiento de TI, con enfoque regional en Latinoamérica."
"Security Advisor Chile SPA","infocl@sadvisor.com"," +562 22640322","www.sadvisor.com/cl/","Empresa con foco exclusivo en soluciones de Seguridad de la Información, presente en la región desde 2000. Desde sus oficinas en Argentina, Chile y Uruguay, atiende una base instalada de más de 200.000 nodos, en más de 800 clientes en 16 países."
"SAP Agencia en Chile","info.chile@sap.com"," +562 24403500","www.sap.com/latinamerica/index.html","Como líder de mercado en software de aplicaciones para empresas, SAP ayuda a las organizaciones a combatir los efectos de la complejidad, generar nuevas oportunidades para la innovación y el crecimiento, y mantenerse a la delantera de la competencia."
"Samsung Electronics Chile Ltda.","comunicacion@samsung.com"," +562 24858500","www.samsung.com/cl/","Desde su fundación en 1969 en Suwon, Corea, Samsung Electronics ha crecido hasta convertirse en una empresa líder en tecnología de la información, con más de 200 subsidiarias en todo el mundo. Entre los productos que ofrece la empresa se encuentran electrodomésticos como televisores, monitores, refrigeradores y lavadoras, al igual que productos de telecomunicación móvil, como smartphones y tablets."
"Morpho S.A.","info@morpho.com"," +56 2 29238200","www.morpho.com","Con una combinación de actividades complementarias que abordan las necesidades específicas de cinco industrias principales (Servicios financieros, Telecomunicaciones, Identidad, Seguridad e IoT), OT-Morpho tiene una amplia presencia global y una experiencia tecnológica única en las áreas de Biometría, Autenticación, Seguridad digital, Datos y análisis de video."
"Safesigner SPA","contacto@orand.cl"," +562 2 2474691","safesigner.com","Safesigner permite realizar cualquier tipo de operación financiera con el móvil de forma cómoda y segura, sin necesidad de utilizar tarjetas, tokens, o medios de seguridad complementarios."
"Safehis SPA","contacto@safehis.com"," +562 22474691","www.safehis.com","Sus soluciones están enfocadas a apoyar la inteligencia de los procesos clínicos y han sido desarrolladas con el aporte de destacados profesionales del sector salud, con el objetivo de obtener altos impactos positivos en seguridad, calidad, eficiencia, ahorro, control y gestión de procesos."
"Red Universitaria Nacional","Info@reuna.cl"," +562 2337 0300","www.reuna.cl","Es una corporación integrada por universidades, centros de investigación de excelencia y grupos astronómicos internacionales. Es la Red Nacional para Investigación y Educación Chilena (NREN por su sigla en inglés), y actualmente, está conformada por 34 instituciones."
"Red Hat Chile Limitada","press@redhat.com"," +562 25977000","www.redhat.com/en/global/chile","Proveedor líder mundial de soluciones de open source."
"Rayen Salud SPA","contacto@rayensalud.com"," +56 2 2588 8800","www.rayensalud.com","Es una empresa chilena innovadora de Servicios TI en Salud, con amplia experiencia en la incorporación de herramientas colaborativas e implementación de Ficha Clínica Electrónica para la gestión sanitaria, aportando en la mejora constante de la eficiencia y continuidad operacional de la estrategia digital en el sector salud, con un impacto concreto en la vida de las personas."
"Provectis S.A.","info@provectis.cl"," +562 24315900","www.provectis.cl","Compañía especializada en el desarrollo e implementación de soluciones y servicios de misión crítica integrales para centros de datos. Combina la experiencia y profesionalismo de su equipo de ingenieros, arquitectos de especialidad y consultores y el sólido portafolio de productos y servicios de sus partners estratégicos tales como IBM, Hitachi, Veritas/Symantec, HP, Sumeru Solutions, Microsoft, EMC2, Vmware, NetGlobalis, Dell y Lenovo."
"Pontificia Universidad Católica de Chile","uc@uc.cl"," +562 23544000","www.uc.cl","Fue fundada el 21 de junio de 1888 por iniciativa del Arzobispo de Santiago, Monseñor Mariano Casanova, con el objetivo de ser una institución que integrara la excelencia académica y una formación inspirada en la doctrina cristiana."
"Paperless","info@paperlessla.com"," +56 2 2589 5400","www.paperlessla.com/paperless/home/cl/","Empresa dedicada a la generación, procesamiento y administración de documentos electrónicos en Latinoamérica."
"Optimisa S.A.","info@optimisa.cl"," +562 2335 8241","www.optimisa.cl","Cuenta con más de 31 años de experiencia, entregando servicios de integración, migración, mantenimiento, soporte, desarrollo y configuración en soluciones para medios de pago, en plataformas tales como: ON/2|BASE24|BASE24-eps. Tiene experiencia en redes y bancos en Latinoamérica."
"Nubox SPA","contacto@nubox.com"," +562 2 478 5000","www.nubox.com","Nació en 2001 en Santiago, Chile. En un principio se transformó en Servipyme, una filial del Banco del Desarrollo, siendo una de las primeras empresas en Chile en ofrecer software administrativo a través de la web y completamente online. Hoy es una compañía que brinda servicios de software de contabilidad, remuneraciones y de factura electrónica para contadores, pequeñas y medianas empresas."
"Novared Chile S.A.","infochile@novared.net"," +562 2499 9000","www.novared.net","Fue fundada en Santiago de Chile a comienzos de 1995, respondiendo a los desafíos que las nuevas tecnologías relacionadas a internet estaban planteando en el mercado. Actualmente, con 18 años de existencia, la empresa se consagra en brindar soluciones integrales a sus clientes en el área tecnológica."
"WOM","julian.garate.p@wom.cl"," +562 23377600","www.wom.cl","WOM nace a partir de la compra de Nextel por parte de Novator, un fondo de inversiones internacional a comienzos de 2015. La compañía de telefonía celular y banda ancha móvil está liderada por el CEO Chris Bannister, quien cuenta con una gran experiencia en la industria."
"Neosecure S.A.","info@neosecure.com"," +56 2 22905900","www.neosecure.com","Compañía de ciberseguridad dedicada a enfrentar las amenazas y proteger los activos y sistemas de las organizaciones."
"NCR Chile Ltda.","rossana.malebran@ncr.com"," +562 2687 1000","www.ncr.com","Es una TIC especializada en soluciones para la venta al por menor y la industria financiera."
"Microsystem S.A.","info@microsystem.cl"," +56 2 2460 6400","www.microsystem.cl","Especialistas en soluciones tecnológicas para la gestión inteligente de la información y procesos de negocio, con el objetivo de incrementar la competitividad y productividad de sus clientes."
"SimpliRoute","alvaro@simpliroute.com"," +562 32452572","www.simpliroute.com","SimpliRoute es una plataforma web que permite a todas las empresas que hagan despachos o repartos poder reducir sus costos hasta en un 30% y poder dar visibilidad a sus clientes en donde se encuentran los despachos y poder asegurarse que el cliente lo reciba a tiempo para así mejorar la experiencia completa de entrega."
